name,rank,lineage
Basfia,genus,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Pasteurellales__135625;f__Pasteurellaceae__712;g__Basfia__697331
Pasteurella langaaensis,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Pasteurellales__135625;f__Pasteurellaceae__712;g__Pasteurella__745;s__Pasteurella langaaensis__756
Mycoplasma leachii,species,sk__Bacteria__2;p__Mycoplasmatota__544448;c__Mollicutes__31969;o__Mycoplasmatales__2085;f__Mycoplasmataceae__2092;g__Mycoplasma__2093;s__Mycoplasma leachii__2105
Vitreoscilla,genus,sk__Bacteria__2;p__Pseudomonadota__1224;c__Betaproteobacteria__28216;o__Neisseriales__206351;f__Neisseriaceae__481;g__Vitreoscilla__59
Pseudalkalibacillus berkeleyi,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Bacillaceae__186817;g__Pseudalkalibacillus__2893058;s__Pseudalkalibacillus berkeleyi__1069813
Ureibacillus composti,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Planococcaceae__186818;g__Ureibacillus__160795;s__Ureibacillus composti__367742
Colwellia psychrerythraea,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Alteromonadales__135622;f__Colwelliaceae__267889;g__Colwellia__28228;s__Colwellia psychrerythraea__28229
Paenibacillus popilliae,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Paenibacillaceae__186822;g__Paenibacillus__44249;s__Paenibacillus popilliae__78057
Cyanobium gracile,species,sk__Bacteria__2;p__Cyanobacteriota__1117;c__Cyanophyceae__3028117;o__Synechococcales__1890424;f__Prochlorococcaceae__2881426;g__Cyanobium__167375;s__Cyanobium gracile__59930
Spiroplasma montanense,species,sk__Bacteria__2;p__Mycoplasmatota__544448;c__Mollicutes__31969;o__Entomoplasmatales__186328;f__Spiroplasmataceae__2131;g__Spiroplasma__2132;s__Spiroplasma montanense__216943
Lysobacter spongiicola,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Xanthomonadales__135614;f__Xanthomonadaceae__32033;g__Lysobacter__68;s__Lysobacter spongiicola__435289
Rhodobium orientis,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Hyphomicrobiales__356;f__Rhodobiaceae__119043;g__Rhodobium__34016;s__Rhodobium orientis__34017
Ornithobacterium rhinotracheale,species,sk__Bacteria__2;p__Bacteroidota__976;c__Flavobacteriia__117743;o__Flavobacteriales__200644;f__Weeksellaceae__2762318;g__Ornithobacterium__28250;s__Ornithobacterium rhinotracheale__28251
Candidatus Cloacimonadaceae,family,sk__Bacteria__2;p__Candidatus Cloacimonadota__456828;c__Candidatus Cloacimonadia__3039863;o__Candidatus Cloacimonadales__3039864;f__Candidatus Cloacimonadaceae__3039865
Sporosarcina sp. NBRC 100707,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Planococcaceae__186818;g__Sporosarcina__1569;s__Sporosarcina sp. NBRC 100707__1113673
Pseudoalteromonas,genus,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Alteromonadales__135622;f__Pseudoalteromonadaceae__267888;g__Pseudoalteromonas__53246
Laceyella thermophila,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Thermoactinomycetaceae__186824;g__Laceyella__292635;s__Laceyella thermophila__1644115
Candidatus Cloacimonadota,phylum,sk__Bacteria__2;p__Candidatus Cloacimonadota__456828
Psychromonadaceae,family,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Alteromonadales__135622;f__Psychromonadaceae__267894
Rhodobium,genus,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Hyphomicrobiales__356;f__Rhodobiaceae__119043;g__Rhodobium__34016
Chlorobiota,phylum,sk__Bacteria__2;p__Chlorobiota__1090
Variovorax sp. JCM 10066,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Betaproteobacteria__28216;o__Burkholderiales__80840;f__Comamonadaceae__80864;g__Variovorax__34072;s__Variovorax sp. JCM 10066__1775536
Mycolicibacterium vulneris,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Mycobacteriales__85007;f__Mycobacteriaceae__1762;g__Mycolicibacterium__1866885;s__Mycolicibacterium vulneris__547163
Cryptosporangium,genus,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Cryptosporangiales__2495577;f__Cryptosporangiaceae__622454;g__Cryptosporangium__65502
Colwellia,genus,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Alteromonadales__135622;f__Colwelliaceae__267889;g__Colwellia__28228
Sandarakinorhabdus,genus,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Sphingomonadales__204457;f__Sphingosinicellaceae__2820280;g__Sandarakinorhabdus__362865
Salisaeta,genus,sk__Bacteria__2;p__Rhodothermota__1853220;c__Rhodothermia__1853222;o__Rhodothermales__1853224;f__Salisaetaceae__2893042;g__Salisaeta__689697
Fructilactobacillus lindneri,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Lactobacillaceae__33958;g__Fructilactobacillus__2767881;s__Fructilactobacillus lindneri__53444
Psychroflexus tropicus,species,sk__Bacteria__2;p__Bacteroidota__976;c__Flavobacteriia__117743;o__Flavobacteriales__200644;f__Flavobacteriaceae__49546;g__Psychroflexus__83612;s__Psychroflexus tropicus__197345
Avibacterium sp. CCUG 18782,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Pasteurellales__135625;f__Pasteurellaceae__712;g__Avibacterium__292486;s__Avibacterium sp. CCUG 18782__409978
Gallibacterium anatis,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Pasteurellales__135625;f__Pasteurellaceae__712;g__Gallibacterium__155493;s__Gallibacterium anatis__750
Symploca atlantica,species,sk__Bacteria__2;p__Cyanobacteriota__1117;c__Cyanophyceae__3028117;o__Oscillatoriales__1150;f__Microcoleaceae__1892252;g__Symploca__105591;s__Symploca atlantica__293762
Candidatus Cloacimonadia,class,sk__Bacteria__2;p__Candidatus Cloacimonadota__456828;c__Candidatus Cloacimonadia__3039863
Pseudoalteromonadaceae,family,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Alteromonadales__135622;f__Pseudoalteromonadaceae__267888
Psychromonas sp. CNPT3,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Alteromonadales__135622;f__Psychromonadaceae__267894;g__Psychromonas__67572;s__Psychromonas sp. CNPT3__314282
Burkholderia multivorans,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Betaproteobacteria__28216;o__Burkholderiales__80840;f__Burkholderiaceae__119060;g__Burkholderia__32008;s__Burkholderia multivorans__87883
Bacillus sp. NBRC 15377,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Bacillaceae__186817;g__Bacillus__1386;s__Bacillus sp. NBRC 15377__1113651
Planktothrix agardhii,species,sk__Bacteria__2;p__Cyanobacteriota__1117;c__Cyanophyceae__3028117;o__Oscillatoriales__1150;f__Microcoleaceae__1892252;g__Planktothrix__54304;s__Planktothrix agardhii__1160
Pontibacillus,genus,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Bacillaceae__186817;g__Pontibacillus__289201
Dechloromonas aromatica,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Betaproteobacteria__28216;o__Rhodocyclales__206389;f__Azonexaceae__2008795;g__Dechloromonas__73029;s__Dechloromonas aromatica__259537
Xanthomonas vesicatoria,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Xanthomonadales__135614;f__Xanthomonadaceae__32033;g__Xanthomonas__338;s__Xanthomonas vesicatoria__56460
Desulfarculaceae,family,sk__Bacteria__2;p__Thermodesulfobacteriota__200940;c__Desulfarculia__3031646;o__Desulfarculales__453227;f__Desulfarculaceae__453228
Merismopediaceae,family,sk__Bacteria__2;p__Cyanobacteriota__1117;c__Cyanophyceae__3028117;o__Synechococcales__1890424;f__Merismopediaceae__1890428
Ureibacillus thermosphaericus,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Planococcaceae__186818;g__Ureibacillus__160795;s__Ureibacillus thermosphaericus__51173
Streptantibioticus cattleyicolor,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Kitasatosporales__85011;f__Streptomycetaceae__2062;g__Streptantibioticus__2995706;s__Streptantibioticus cattleyicolor__29303
Clostridium oceanicum,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Clostridiaceae__31979;g__Clostridium__1485;s__Clostridium oceanicum__1543
Hydrogenophaga taeniospiralis,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Betaproteobacteria__28216;o__Burkholderiales__80840;f__Comamonadaceae__80864;g__Hydrogenophaga__47420;s__Hydrogenophaga taeniospiralis__65656
Desulfarculus,genus,sk__Bacteria__2;p__Thermodesulfobacteriota__200940;c__Desulfarculia__3031646;o__Desulfarculales__453227;f__Desulfarculaceae__453228;g__Desulfarculus__453229
Alicyclobacillus cycloheptanicus,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Alicyclobacillaceae__186823;g__Alicyclobacillus__29330;s__Alicyclobacillus cycloheptanicus__1457
Microbacterium paraoxydans,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Microbacteriaceae__85023;g__Microbacterium__33882;s__Microbacterium paraoxydans__199592
Paenibacillus sp. NBRC 13637,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Paenibacillaceae__186822;g__Paenibacillus__44249;s__Paenibacillus sp. NBRC 13637__1113617
Amycolatopsis keratiniphila,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Pseudonocardiales__85010;f__Pseudonocardiaceae__2070;g__Amycolatopsis__1813;s__Amycolatopsis keratiniphila__129921
Candidatus Cloacimonadales,order,sk__Bacteria__2;p__Candidatus Cloacimonadota__456828;c__Candidatus Cloacimonadia__3039863;o__Candidatus Cloacimonadales__3039864
Marinobacterium stanieri,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Oceanospirillales__135619;f__Oceanospirillaceae__135620;g__Marinobacterium__48075;s__Marinobacterium stanieri__49186
Cryobacterium,genus,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Microbacteriaceae__85023;g__Cryobacterium__69578
Acetobacter pasteurianus,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Rhodospirillales__204441;f__Acetobacteraceae__433;g__Acetobacter__434;s__Acetobacter pasteurianus__438
Vannielia litorea,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Rhodobacterales__204455;f__Paracoccaceae__31989;g__Vannielia__2813041;s__Vannielia litorea__1217970
Campylobacter rectus,species,sk__Bacteria__2;p__Campylobacterota__29547;c__Epsilonproteobacteria__3031852;o__Campylobacterales__213849;f__Campylobacteraceae__72294;g__Campylobacter__194;s__Campylobacter rectus__203
Paenibacillus agaridevorans,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Paenibacillaceae__186822;g__Paenibacillus__44249;s__Paenibacillus agaridevorans__171404
Cryobacterium psychrophilum,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Microbacteriaceae__85023;g__Cryobacterium__69578;s__Cryobacterium psychrophilum__41988
Symploca,genus,sk__Bacteria__2;p__Cyanobacteriota__1117;c__Cyanophyceae__3028117;o__Oscillatoriales__1150;f__Microcoleaceae__1892252;g__Symploca__105591
Thermaerobacter nagasakiensis,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Clostridiales Family XVII. Incertae Sedis__539000;g__Thermaerobacter__73918;s__Thermaerobacter nagasakiensis__159723
Brevibacillus formosus,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Paenibacillaceae__186822;g__Brevibacillus__55080;s__Brevibacillus formosus__54913
Pontibacillus marinus,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Bacillaceae__186817;g__Pontibacillus__289201;s__Pontibacillus marinus__273164
Synechocystis sp. PCC 6803,species,sk__Bacteria__2;p__Cyanobacteriota__1117;c__Cyanophyceae__3028117;o__Synechococcales__1890424;f__Merismopediaceae__1890428;g__Synechocystis__1142;s__Synechocystis sp. PCC 6803__1148
Flammeovirga kamogawensis,species,sk__Bacteria__2;p__Bacteroidota__976;c__Cytophagia__768503;o__Cytophagales__768507;f__Flammeovirgaceae__200667;g__Flammeovirga__59739;s__Flammeovirga kamogawensis__373891
Oxalophagus oxalicus,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Paenibacillaceae__186822;g__Oxalophagus__44262;s__Oxalophagus oxalicus__36848
Desulfarculia,class,sk__Bacteria__2;p__Thermodesulfobacteriota__200940;c__Desulfarculia__3031646
Candidatus Cloacimonas,genus,sk__Bacteria__2;p__Candidatus Cloacimonadota__456828;c__Candidatus Cloacimonadia__3039863;o__Candidatus Cloacimonadales__3039864;f__Candidatus Cloacimonadaceae__3039865;g__Candidatus Cloacimonas__456826
Flammeovirga,genus,sk__Bacteria__2;p__Bacteroidota__976;c__Cytophagia__768503;o__Cytophagales__768507;f__Flammeovirgaceae__200667;g__Flammeovirga__59739
Pediococcus parvulus,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Lactobacillaceae__33958;g__Pediococcus__1253;s__Pediococcus parvulus__54062
Saccharibacillus,genus,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Paenibacillaceae__186822;g__Saccharibacillus__456492
Nitratiruptor tergarcus,species,sk__Bacteria__2;p__Campylobacterota__29547;c__Epsilonproteobacteria__3031852;o__Nautiliales__235899;f__Nitratiruptoraceae__2795691;g__Nitratiruptor__269258;s__Nitratiruptor tergarcus__269259
Spiroplasma chrysopicola,species,sk__Bacteria__2;p__Mycoplasmatota__544448;c__Mollicutes__31969;o__Entomoplasmatales__186328;f__Spiroplasmataceae__2131;g__Spiroplasma__2132;s__Spiroplasma chrysopicola__216933
Salinispora pacifica,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micromonosporales__85008;f__Micromonosporaceae__28056;g__Salinispora__168694;s__Salinispora pacifica__351187
Ralstonia,genus,sk__Bacteria__2;p__Pseudomonadota__1224;c__Betaproteobacteria__28216;o__Burkholderiales__80840;f__Burkholderiaceae__119060;g__Ralstonia__48736
Moorellaceae,family,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Moorellales__3039167;f__Moorellaceae__3039168
Promicromonosporaceae,family,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Promicromonosporaceae__85017
Sporomusa ovata,species,sk__Bacteria__2;p__Bacillota__1239;c__Negativicutes__909932;o__Selenomonadales__909929;f__Sporomusaceae__1843490;g__Sporomusa__2375;s__Sporomusa ovata__2378
Mesorhizobium metallidurans,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Hyphomicrobiales__356;f__Phyllobacteriaceae__69277;g__Mesorhizobium__68287;s__Mesorhizobium metallidurans__489722
Fodinibius,genus,sk__Bacteria__2;p__Balneolota__1936987;c__Balneolia__1853221;o__Balneolales__1853223;f__Balneolaceae__1813606;g__Fodinibius__1397106
Flavonifractor,genus,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Oscillospiraceae__216572;g__Flavonifractor__946234
Butyricicoccus,genus,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Butyricicoccaceae__3085642;g__Butyricicoccus__580596
Salinispora,genus,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micromonosporales__85008;f__Micromonosporaceae__28056;g__Salinispora__168694
Spiroplasma sabaudiense,species,sk__Bacteria__2;p__Mycoplasmatota__544448;c__Mollicutes__31969;o__Entomoplasmatales__186328;f__Spiroplasmataceae__2131;g__Spiroplasma__2132;s__Spiroplasma sabaudiense__216944
Sphingobium cloacae,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Sphingomonadales__204457;f__Sphingomonadaceae__41297;g__Sphingobium__165695;s__Sphingobium cloacae__120107
Bartonella henselae,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Hyphomicrobiales__356;f__Bartonellaceae__772;g__Bartonella__773;s__Bartonella henselae__38323
Paenibacillus sp. NBRC 13639,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Paenibacillaceae__186822;g__Paenibacillus__44249;s__Paenibacillus sp. NBRC 13639__1113618
alpha proteobacterium CCBAU 45397,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;s__alpha proteobacterium CCBAU 45397__858441
Alicyclobacillus fastidiosus,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Alicyclobacillaceae__186823;g__Alicyclobacillus__29330;s__Alicyclobacillus fastidiosus__392011
Alkaliphilus,genus,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Peptostreptococcales__3082720;f__Natronincolaceae__3118656;g__Alkaliphilus__114627
Streptococcus parasanguinis,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Lactobacillales__186826;f__Streptococcaceae__1300;g__Streptococcus__1301;s__Streptococcus parasanguinis__1318
Allomeiothermus silvanus,species,sk__Bacteria__2;p__Deinococcota__1297;c__Deinococci__188787;o__Thermales__68933;f__Thermaceae__188786;g__Allomeiothermus__2935559;s__Allomeiothermus silvanus__52022
Arthrobacter gandavensis,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Micrococcaceae__1268;g__Arthrobacter__1663;s__Arthrobacter gandavensis__169960
Rhodococcus wratislaviensis,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Mycobacteriales__85007;f__Nocardiaceae__85025;g__Rhodococcus__1827;s__Rhodococcus wratislaviensis__44752
Allomeiothermus,genus,sk__Bacteria__2;p__Deinococcota__1297;c__Deinococci__188787;o__Thermales__68933;f__Thermaceae__188786;g__Allomeiothermus__2935559
Lyngbya,genus,sk__Bacteria__2;p__Cyanobacteriota__1117;c__Cyanophyceae__3028117;o__Oscillatoriales__1150;f__Oscillatoriaceae__1892254;g__Lyngbya__28073
Mycoplasma feliminutum,species,sk__Bacteria__2;p__Mycoplasmatota__544448;c__Mollicutes__31969;o__Mycoplasmatales__2085;f__Mycoplasmataceae__2092;g__Mycoplasma__2093;s__Mycoplasma feliminutum__36741
Candidatus Cloacimonas acidaminovorans,species,sk__Bacteria__2;p__Candidatus Cloacimonadota__456828;c__Candidatus Cloacimonadia__3039863;o__Candidatus Cloacimonadales__3039864;f__Candidatus Cloacimonadaceae__3039865;g__Candidatus Cloacimonas__456826;s__Candidatus Cloacimonas acidaminovorans__456827
Desulfovibrio inopinatus,species,sk__Bacteria__2;p__Thermodesulfobacteriota__200940;c__Desulfovibrionia__3031449;o__Desulfovibrionales__213115;f__Desulfovibrionaceae__194924;g__Desulfovibrio__872;s__Desulfovibrio inopinatus__102109
Synechocystis,genus,sk__Bacteria__2;p__Cyanobacteriota__1117;c__Cyanophyceae__3028117;o__Synechococcales__1890424;f__Merismopediaceae__1890428;g__Synechocystis__1142
Cyanobium,genus,sk__Bacteria__2;p__Cyanobacteriota__1117;c__Cyanophyceae__3028117;o__Synechococcales__1890424;f__Prochlorococcaceae__2881426;g__Cyanobium__167375
Oxalophagus,genus,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Paenibacillaceae__186822;g__Oxalophagus__44262
Paenibacillus sp. DSM 1481,species,sk__Bacteria__2;p__Bacillota__1239;c__Bacilli__91061;o__Bacillales__1385;f__Paenibacillaceae__186822;g__Paenibacillus__44249;s__Paenibacillus sp. DSM 1481__171405
Thiomicrorhabdus arctica,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Thiotrichales__72273;f__Piscirickettsiaceae__135616;g__Thiomicrorhabdus__2039723;s__Thiomicrorhabdus arctica__131540
Marinomonas mediterranea,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Oceanospirillales__135619;f__Oceanospirillaceae__135620;g__Marinomonas__28253;s__Marinomonas mediterranea__119864
Thiomicrorhabdus,genus,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Thiotrichales__72273;f__Piscirickettsiaceae__135616;g__Thiomicrorhabdus__2039723
Beggiatoa,genus,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Thiotrichales__72273;f__Thiotrichaceae__135617;g__Beggiatoa__1021
Desulfarculus baarsii,species,sk__Bacteria__2;p__Thermodesulfobacteriota__200940;c__Desulfarculia__3031646;o__Desulfarculales__453227;f__Desulfarculaceae__453228;g__Desulfarculus__453229;s__Desulfarculus baarsii__453230
Shewanella algae,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Gammaproteobacteria__1236;o__Alteromonadales__135622;f__Shewanellaceae__267890;g__Shewanella__22;s__Shewanella algae__38313
Desulfocurvibacter africanus,species,sk__Bacteria__2;p__Thermodesulfobacteriota__200940;c__Desulfovibrionia__3031449;o__Desulfovibrionales__213115;f__Desulfovibrionaceae__194924;g__Desulfocurvibacter__2582840;s__Desulfocurvibacter africanus__873
Helicobacter bilis,species,sk__Bacteria__2;p__Campylobacterota__29547;c__Epsilonproteobacteria__3031852;o__Campylobacterales__213849;f__Helicobacteraceae__72293;g__Helicobacter__209;s__Helicobacter bilis__37372
Desulfarculales,order,sk__Bacteria__2;p__Thermodesulfobacteriota__200940;c__Desulfarculia__3031646;o__Desulfarculales__453227
Dyadobacter alkalitolerans,species,sk__Bacteria__2;p__Bacteroidota__976;c__Cytophagia__768503;o__Cytophagales__768507;f__Spirosomataceae__2896860;g__Dyadobacter__120831;s__Dyadobacter alkalitolerans__492736
Mariniphaga,genus,sk__Bacteria__2;p__Bacteroidota__976;c__Bacteroidia__200643;o__Marinilabiliales__1970189;f__Prolixibacteraceae__1471398;g__Mariniphaga__1573806
Lachnospiraceae bacterium 3_1_46FAA,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;s__Lachnospiraceae bacterium 3_1_46FAA__665950
Coprococcus sp. ART55/1,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;g__Coprococcus__33042;s__Coprococcus sp. ART55/1__751585
Rhodomicrobium vannielii,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Hyphomicrobiales__356;f__Hyphomicrobiaceae__45401;g__Rhodomicrobium__1068;s__Rhodomicrobium vannielii__1069
Moorella mulderi,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Moorellales__3039167;f__Moorellaceae__3039168;g__Moorella__44260;s__Moorella mulderi__202604
Sphingomonas taxi,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Sphingomonadales__204457;f__Sphingomonadaceae__41297;g__Sphingomonas__13687;s__Sphingomonas taxi__1549858
Alkaliphilus oremlandii,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Peptostreptococcales__3082720;f__Natronincolaceae__3118656;g__Alkaliphilus__114627;s__Alkaliphilus oremlandii__461876
Hydrogenophaga intermedia,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Betaproteobacteria__28216;o__Burkholderiales__80840;f__Comamonadaceae__80864;g__Hydrogenophaga__47420;s__Hydrogenophaga intermedia__65786
Dictyoglomia,class,sk__Bacteria__2;p__Dictyoglomota__68297;c__Dictyoglomia__203486
Haematobacter missouriensis,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Rhodobacterales__204455;f__Paracoccaceae__31989;g__Haematobacter__366614;s__Haematobacter missouriensis__366616
Haematobacter,genus,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Rhodobacterales__204455;f__Paracoccaceae__31989;g__Haematobacter__366614
Dictyoglomus,genus,sk__Bacteria__2;p__Dictyoglomota__68297;c__Dictyoglomia__203486;o__Dictyoglomales__203487;f__Dictyoglomaceae__203488;g__Dictyoglomus__13
Lachnospiraceae bacterium 1_1_57FAA,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Lachnospirales__3085636;f__Lachnospiraceae__186803;s__Lachnospiraceae bacterium 1_1_57FAA__658081
planctomycete DSM1A9,species,sk__Bacteria__2;p__Planctomycetota__203682;c__Planctomycetia__203683;o__Planctomycetales__112;f__Planctomycetaceae__126;s__planctomycete DSM1A9__1027568
Sanguibacteraceae,family,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Micrococcales__85006;f__Sanguibacteraceae__145360
Rubrobacter xylanophilus,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Rubrobacteria__84995;o__Rubrobacterales__84996;f__Rubrobacteraceae__84997;g__Rubrobacter__42255;s__Rubrobacter xylanophilus__49319
Desulfuromonas,genus,sk__Bacteria__2;p__Thermodesulfobacteriota__200940;c__Desulfuromonadia__3031651;o__Desulfuromonadales__69541;f__Desulfuromonadaceae__213421;g__Desulfuromonas__890
Devosia soli,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Hyphomicrobiales__356;f__Devosiaceae__2831106;g__Devosia__46913;s__Devosia soli__361041
Clostridium tepidiprofundi,species,sk__Bacteria__2;p__Bacillota__1239;c__Clostridia__186801;o__Eubacteriales__186802;f__Clostridiaceae__31979;g__Clostridium__1485;s__Clostridium tepidiprofundi__420412
Glycomyces rutgersensis,species,sk__Bacteria__2;p__Actinomycetota__201174;c__Actinomycetes__1760;o__Glycomycetales__85014;f__Glycomycetaceae__85034;g__Glycomyces__58113;s__Glycomyces rutgersensis__58115
Hyphomonas johnsonii,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Hyphomonadales__2800060;f__Hyphomonadaceae__69657;g__Hyphomonas__85;s__Hyphomonas johnsonii__81031
Novosphingobium bradum,species,sk__Bacteria__2;p__Pseudomonadota__1224;c__Alphaproteobacteria__28211;o__Sphingomonadales__204457;f__Sphingomonadaceae__41297;g__Novosphingobium__165696;s__Novosphingobium bradum__1737444
